# packages in environment at C:\Users\akiak\miniconda3\envs\auto-music-transcription:
#
# Name                           Version                Build                  Channel
hf-xet                           1.1.10                 py310h63875d3_2        conda-forge
hpack                            4.1.0                  pyhd8ed1ab_0           conda-forge
httpcore                         1.0.9                  pyh29332c3_0           conda-forge
httpx                            0.28.1                 pyhd8ed1ab_0           conda-forge
huggingface_hub                  0.35.3                 pyhd8ed1ab_0           conda-forge
hyperframe                       6.1.0                  pyhd8ed1ab_0           conda-forge
icu                              75.1                   he0c23c2_0             conda-forge
idna                             3.10                   pyhd8ed1ab_1           conda-forge
importlib-metadata               8.7.0                  pyhe01879c_1           conda-forge
ipykernel                        6.30.1                 pyh3521513_0           conda-forge
ipython                          9.6.0                  pyh6be1c34_0           conda-forge
ipython_pygments_lexers          1.1.1                  pyhd8ed1ab_0           conda-forge
isoduration                      20.11.0                pyhd8ed1ab_1           conda-forge
jaconv                           0.3.4                  pyhd8ed1ab_0           conda-forge
jedi                             0.19.2                 pyhd8ed1ab_1           conda-forge
jinja2                           3.1.6                  pyhd8ed1ab_0           conda-forge
jiwer                            4.0.0                  pyhe01879c_0           conda-forge
joblib                           1.5.2                  pyhd8ed1ab_0           conda-forge
json5                            0.12.1                 pyhd8ed1ab_0           conda-forge
jsonpointer                      3.0.0                  py311h1ea47a8_2        conda-forge
jsonschema                       4.25.1                 pyhe01879c_0           conda-forge
jsonschema-specifications        2025.9.1               pyhcf101f3_0           conda-forge
jsonschema-with-format-nongpl    4.25.1                 he01879c_0             conda-forge
jupyter-lsp                      2.3.0                  pyhcf101f3_0           conda-forge
jupyter_client                   8.6.3                  pyhd8ed1ab_1           conda-forge
jupyter_core                     5.8.1                  pyh5737063_0           conda-forge
jupyter_events                   0.12.0                 pyh29332c3_0           conda-forge
jupyter_server                   2.17.0                 pyhcf101f3_0           conda-forge
jupyter_server_terminals         0.5.3                  pyhd8ed1ab_1           conda-forge
jupyterlab                       4.4.9                  pyhd8ed1ab_0           conda-forge
jupyterlab_pygments              0.3.0                  pyhd8ed1ab_2           conda-forge
jupyterlab_server                2.27.3                 pyhd8ed1ab_1           conda-forge
kiwisolver                       1.4.9                  py311h275cad7_1        conda-forge
krb5                             1.21.3                 hdf4eb48_0             conda-forge
lame                             3.100                  hcfcfb64_1003          conda-forge
lark                             1.3.0                  pyhd8ed1ab_0           conda-forge
lazy-loader                      0.4                    pyhd8ed1ab_2           conda-forge
lazy_loader                      0.4                    pyhd8ed1ab_2           conda-forge
lcms2                            2.17                   hbcf6048_0             conda-forge
lerc                             4.0.0                  h6470a55_1             conda-forge
libabseil                        20250512.1             cxx17_habfad5f_0       conda-forge
libarrow                         21.0.0                 h2031902_8_cpu         conda-forge
libarrow-acero                   21.0.0                 h7d8d6a5_8_cpu         conda-forge
libarrow-compute                 21.0.0                 h2db994a_8_cpu         conda-forge
libarrow-dataset                 21.0.0                 h7d8d6a5_8_cpu         conda-forge
libarrow-substrait               21.0.0                 hf865cc0_8_cpu         conda-forge
libblas                          3.9.0                  35_h5709861_mkl        conda-forge
libbrotlicommon                  1.1.0                  hfd05255_4             conda-forge
libbrotlidec                     1.1.0                  hfd05255_4             conda-forge
libbrotlienc                     1.1.0                  hfd05255_4             conda-forge
libcblas                         3.9.0                  35_h2a3cdd5_mkl        conda-forge
libclang13                       21.1.2                 default_ha2db4b5_2     conda-forge
libcrc32c                        1.1.2                  h0e60522_0             conda-forge
libcurl                          8.14.1                 h88aaa65_0             conda-forge
libdeflate                       1.22                   h2466b09_0             conda-forge
libevent                         2.1.12                 h3671451_1             conda-forge
libexpat                         2.7.1                  hac47afa_0             conda-forge
libffi                           3.4.4                  hd77b12b_1
libflac                          1.4.3                  h63175ca_0             conda-forge
libfreetype                      2.14.1                 h57928b3_0             conda-forge
libfreetype6                     2.14.1                 hdbac1cb_0             conda-forge
libgcc                           15.2.0                 h1383e82_7             conda-forge
libglib                          2.84.0                 h7025463_0             conda-forge
libgomp                          15.2.0                 h1383e82_7             conda-forge
libgoogle-cloud                  2.39.0                 h19ee442_0             conda-forge
libgoogle-cloud-storage          2.39.0                 he04ea4c_0             conda-forge
libgrpc                          1.73.1                 h04afb49_0             conda-forge
libhwloc                         2.12.1                 default_h88281d1_1000  conda-forge
libiconv                         1.18                   hc1393d2_2             conda-forge
libintl                          0.22.5                 h5728263_3             conda-forge
libjpeg-turbo                    3.1.0                  h2466b09_0             conda-forge
liblapack                        3.9.0                  35_hf9ab0e9_mkl        conda-forge
libogg                           1.3.5                  h2466b09_1             conda-forge
libopus                          1.5.2                  h2466b09_0             conda-forge
libparquet                       21.0.0                 h24c48c9_8_cpu         conda-forge
libpng                           1.6.50                 h7351971_1             conda-forge
libprotobuf                      6.31.1                 hdcda5b4_1             conda-forge
libre2-11                        2025.08.12             h0eb2380_1             conda-forge
librosa                          0.11.0                 pyhd8ed1ab_0           conda-forge
librsvg                          2.58.4                 h5ce5fed_3             conda-forge
libsndfile                       1.2.2                  h81429f1_1             conda-forge
libsodium                        1.0.20                 hc70643c_0             conda-forge
libsqlite                        3.50.4                 hf5d6505_0             conda-forge
libssh2                          1.11.1                 h9aa295b_0             conda-forge
libthrift                        0.22.0                 h23985f6_1             conda-forge
libtiff                          4.7.0                  hfc51747_1             conda-forge
libutf8proc                      2.11.0                 h0b34c2f_0             conda-forge
libvorbis                        1.3.7                  h5112557_2             conda-forge
libwebp-base                     1.6.0                  h4d5522a_0             conda-forge
libwinpthread                    12.0.0.r4.gg4f2fc60ca  h57928b3_10            conda-forge
libxcb                           1.17.0                 h0e4246c_0             conda-forge
libxml2                          2.13.8                 h741aa76_1             conda-forge
libxslt                          1.1.43                 h25c3957_0             conda-forge
libzlib                          1.3.1                  h02ab6af_0
llvm-openmp                      21.1.2                 hfa2b4ca_3             conda-forge
llvmlite                         0.45.1                 py311h4f568be_0        conda-forge
lxml                             6.0.2                  py311hea5fcc3_0        conda-forge
lz4-c                            1.10.0                 h2466b09_1             conda-forge
markupsafe                       3.0.3                  py311h3f79411_0        conda-forge
matplotlib                       3.10.6                 py311h1ea47a8_1        conda-forge
matplotlib-base                  3.10.6                 py311h1675fdf_1        conda-forge
matplotlib-inline                0.1.7                  pyhd8ed1ab_1           conda-forge
mistune                          3.1.4                  pyhcf101f3_0           conda-forge
mkl                              2024.2.2               h57928b3_16            conda-forge
more-itertools                   10.8.0                 pypi_0                 pypi
mpg123                           1.32.9                 h01009b0_0             conda-forge
mpmath                           1.3.0                  pypi_0                 pypi
msgpack-python                   1.1.2                  py311h3fd045d_0        conda-forge
multidict                        6.6.3                  py311h3f79411_0        conda-forge
multiprocess                     0.70.16                py311he736701_1        conda-forge
munkres                          1.1.4                  pyhd8ed1ab_1           conda-forge
nbclient                         0.10.2                 pyhd8ed1ab_0           conda-forge
nbconvert-core                   7.16.6                 pyh29332c3_0           conda-forge
nbformat                         5.10.4                 pyhd8ed1ab_1           conda-forge
nest-asyncio                     1.6.0                  pyhd8ed1ab_1           conda-forge
networkx                         3.3                    pypi_0                 pypi
notebook-shim                    0.2.4                  pyhd8ed1ab_1           conda-forge
numba                            0.62.1                 py311hffedbe7_0        conda-forge
numpy                            2.3.3                  py311h80b3fa1_0        conda-forge
openai-whisper                   20250625               pypi_0                 pypi
openh264                         2.5.0                  ha9db3cd_0             conda-forge
openjpeg                         2.5.3                  h24db6dd_1             conda-forge
openssl                          3.6.0                  h725018a_0             conda-forge
orc                              2.2.1                  h7414dfc_0             conda-forge
overrides                        7.7.0                  pyhd8ed1ab_1           conda-forge
packaging                        25.0                   pyh29332c3_1           conda-forge
pandas                           2.3.3                  py311h11fd7f3_1        conda-forge
pandocfilters                    1.5.0                  pyhd8ed1ab_0           conda-forge
pango                            1.56.3                 h0c53d3b_1             conda-forge
parso                            0.8.5                  pyhcf101f3_0           conda-forge
pcre2                            10.44                  h99c9b8b_2             conda-forge
pickleshare                      0.7.5                  pyhd8ed1ab_1004        conda-forge
pillow                           11.3.0                 py311h26a3c52_3        conda-forge
pip                              25.2                   pyhc872135_0
pixman                           0.46.4                 h5112557_1             conda-forge
plac                             1.4.5                  pypi_0                 pypi
platformdirs                     4.5.0                  pyhcf101f3_0           conda-forge
pooch                            1.8.2                  pyhd8ed1ab_3           conda-forge
prometheus_client                0.23.1                 pyhd8ed1ab_0           conda-forge
prompt-toolkit                   3.0.52                 pyha770c72_0           conda-forge
propcache                        0.3.1                  py311h5082efb_0        conda-forge
psutil                           7.1.0                  py311h3485c13_0        conda-forge
pthread-stubs                    0.4                    h0e40799_1002          conda-forge
pure_eval                        0.2.3                  pyhd8ed1ab_1           conda-forge
pyarrow                          21.0.0                 py311h1ea47a8_1        conda-forge
pyarrow-core                     21.0.0                 py311ha836b3b_1_cpu    conda-forge
pycparser                        2.22                   pyh29332c3_1           conda-forge
pydomino                         1.2.1                  pypi_0                 pypi
pygments                         2.19.2                 pyhd8ed1ab_0           conda-forge
pyparsing                        3.2.5                  pyhcf101f3_0           conda-forge
pyside6                          6.9.0                  py311h9f82be6_0        conda-forge
pysocks                          1.7.1                  pyh09c184e_7           conda-forge
pysoundfile                      0.13.1                 pyhd8ed1ab_0           conda-forge
python                           3.11.13                h981015d_0
python-dateutil                  2.9.0.post0            pyhe01879c_2           conda-forge
python-fastjsonschema            2.21.2                 pyhe01879c_0           conda-forge
python-gil                       3.11.13                hd8ed1ab_0             conda-forge
python-json-logger               2.0.7                  pyhd8ed1ab_0           conda-forge
python-tzdata                    2025.2                 pyhd8ed1ab_0           conda-forge
python-xxhash                    3.6.0                  py311h2f2c37c_0        conda-forge
python_abi                       3.11                   2_cp311                conda-forge
pytz                             2025.2                 pyhd8ed1ab_0           conda-forge
pywin32                          311                    py311hefeebc8_1        conda-forge
pywinpty                         2.0.15                 py311hda3d55a_1        conda-forge
pyyaml                           6.0.3                  py311h3f79411_0        conda-forge
pyzmq                            27.1.0                 py311hb77b9c8_0        conda-forge
qhull                            2020.2                 hc790b64_5             conda-forge
qt6-main                         6.9.0                  h83cda92_0             conda-forge
rapidfuzz                        3.14.3                 py311h3e6a449_1        conda-forge
re2                              2025.08.12             ha104f34_1             conda-forge
referencing                      0.36.2                 pyh29332c3_0           conda-forge
regex                            2025.9.18              py311h3485c13_0        conda-forge
requests                         2.32.5                 pyhd8ed1ab_0           conda-forge
rfc3339-validator                0.1.4                  pyhd8ed1ab_1           conda-forge
rfc3986-validator                0.1.1                  pyh9f0ad1d_0           conda-forge
rfc3987-syntax                   1.1.0                  pyhe01879c_1           conda-forge
rpds-py                          0.27.1                 py311hf51aa87_1        conda-forge
safetensors                      0.6.2                  py311h18438d6_1        conda-forge
scikit-learn                     1.7.2                  py311h8a15ebc_0        conda-forge
scipy                            1.16.2                 py311h9a1c30b_0        conda-forge
send2trash                       1.8.3                  pyh5737063_1           conda-forge
setuptools                       78.1.1                 py311haa95532_0
six                              1.17.0                 pyhe01879c_1           conda-forge
snappy                           1.2.2                  h7fa0ca8_0             conda-forge
sniffio                          1.3.1                  pyhd8ed1ab_1           conda-forge
soupsieve                        2.8                    pyhd8ed1ab_0           conda-forge
soxr                             0.1.3                  hcfcfb64_3             conda-forge
soxr-python                      1.0.0                  py311h3e6a449_0        conda-forge
sqlite                           3.50.2                 hda9a48d_1
stack_data                       0.6.3                  pyhd8ed1ab_1           conda-forge
standard-aifc                    3.13.0                 py311h1ea47a8_2        conda-forge
standard-sunau                   3.13.0                 py311h1ea47a8_2        conda-forge
svt-av1                          2.3.0                  he0c23c2_0             conda-forge
sympy                            1.13.3                 pypi_0                 pypi
tbb                              2021.13.0              h18a62a1_3             conda-forge
terminado                        0.18.1                 pyh5737063_0           conda-forge
threadpoolctl                    3.6.0                  pyhecae5ae_0           conda-forge
tiktoken                         0.12.0                 pypi_0                 pypi
tinycss2                         1.4.0                  pyhd8ed1ab_0           conda-forge
tk                               8.6.15                 hf199647_0
tokenizers                       0.22.1                 py311h9468d6e_0        conda-forge
tomli                            2.3.0                  pyhcf101f3_0           conda-forge
torch                            2.8.0+cu129            pypi_0                 pypi
tornado                          6.5.2                  py311h3485c13_1        conda-forge
tqdm                             4.67.1                 pyhd8ed1ab_1           conda-forge
traitlets                        5.14.3                 pyhd8ed1ab_1           conda-forge
transformers                     4.57.0                 pyhd8ed1ab_0           conda-forge
types-python-dateutil            2.9.0.20251008         pyhd8ed1ab_0           conda-forge
typing-extensions                4.15.0                 h396c80c_0             conda-forge
typing_extensions                4.15.0                 pyhcf101f3_0           conda-forge
typing_utils                     0.1.0                  pyhd8ed1ab_1           conda-forge
tzdata                           2025b                  h04d1e81_0
ucrt                             10.0.22621.0           haa95532_0
unicodedata2                     16.0.0                 py311h3485c13_1        conda-forge
unidic                           1.1.0                  pypi_0                 pypi
uri-template                     1.3.0                  pyhd8ed1ab_1           conda-forge
urllib3                          2.5.0                  pyhd8ed1ab_0           conda-forge
vc                               14.3                   h2df5915_10
vc14_runtime                     14.44.35208            h4927774_10
vs2015_runtime                   14.44.35208            ha6b5a95_10
wasabi                           0.10.1                 pypi_0                 pypi
wcwidth                          0.2.14                 pyhd8ed1ab_0           conda-forge
webcolors                        24.11.1                pyhd8ed1ab_0           conda-forge
webencodings                     0.5.1                  pyhd8ed1ab_3           conda-forge
websocket-client                 1.9.0                  pyhd8ed1ab_0           conda-forge
wheel                            0.45.1                 py311haa95532_0
win_inet_pton                    1.1.0                  pyh7428d3b_8           conda-forge
winpty                           0.4.3                  4                      conda-forge
x264                             1!164.3095             h8ffe710_2             conda-forge
x265                             3.5                    h2d74725_3             conda-forge
xorg-libxau                      1.0.12                 h0e40799_0             conda-forge
xorg-libxdmcp                    1.1.5                  h0e40799_0             conda-forge
xxhash                           0.8.3                  hbba6f48_0             conda-forge
xz                               5.6.4                  h4754444_1
yaml                             0.2.5                  h6a83c73_3             conda-forge
yarl                             1.20.1                 py311h5082efb_0        conda-forge
zeromq                           4.3.5                  h5bddc39_9             conda-forge
zipp                             3.23.0                 pyhd8ed1ab_0           conda-forge
zlib                             1.3.1                  h02ab6af_0
zstandard                        0.25.0                 py311hf893f09_0        conda-forge
zstd                             1.5.7                  hbeecb71_2             conda-forge
